day,totalCount,chinkCount,buglandCount,chankaroCount,chinaziCount,gookCount,insectoidCount,bugmenCount,chingchongCount,chinkFreq,buglandFreq,chankaroFreq,chinaziFreq,gookFreq,insectoidFreq,bugmenFreq,chingchongFreq
2019-11-26,457005,13.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,2.8446078270478442e-05,0.0,0.0,1.531711906871916e-05,1.531711906871916e-05,0.0,0.0,4.37631973391976e-06
2019-11-27,457365,17.0,0.0,0.0,6.0,8.0,1.0,0.0,1.0,3.716943797623342e-05,0.0,0.0,1.3118625168082386e-05,1.7491500224109848e-05,2.186437528013731e-06,0.0,2.186437528013731e-06
2019-11-28,445645,21.0,0.0,0.0,11.0,13.0,0.0,0.0,1.0,4.7122709780206215e-05,0.0,0.0,2.468332417058421e-05,2.917120129250861e-05,0.0,0.0,2.243938560962201e-06
2019-11-29,415568,14.0,0.0,0.0,12.0,7.0,1.0,0.0,3.0,3.3688830708813e-05,0.0,0.0,2.8876140607553998e-05,1.68444153544065e-05,2.4063450506295e-06,0.0,7.219035151888499e-06
2019-11-30,437929,23.0,0.0,0.0,8.0,13.0,0.0,0.0,4.0,5.2519929029591554e-05,0.0,0.0,1.826780140159706e-05,2.9685177277595227e-05,0.0,0.0,9.13390070079853e-06
2019-12-01,441920,16.0,0.0,0.0,18.0,7.0,0.0,0.0,3.0,3.620564808110065e-05,0.0,0.0,4.073135409123823e-05,1.5839971035481534e-05,0.0,0.0,6.7885590152063726e-06
2019-12-02,450701,22.0,0.0,0.0,6.0,11.0,0.0,0.0,1.0,4.881284931695293e-05,0.0,0.0,1.3312595268259888e-05,2.4406424658476464e-05,0.0,0.0,2.2187658780433147e-06
2019-12-03,469571,18.0,0.0,0.0,19.0,23.0,0.0,0.0,4.0,3.8332861271245456e-05,0.0,0.0,4.0462464675203534e-05,4.898087829103586e-05,0.0,0.0,8.518413615832323e-06
2019-12-04,507442,16.0,0.0,0.0,15.0,8.0,0.0,0.0,2.0,3.15306971042996e-05,0.0,0.0,2.956002853528088e-05,1.57653485521498e-05,0.0,0.0,3.94133713803745e-06
2019-12-05,41776,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.181156644963616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-20,100091,3.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.9972724820413423e-05,0.0,0.0,0.0,3.9963633093884564e-05,0.0,0.0,1.9981816546942282e-05
2019-12-21,411117,12.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,2.9188771079765613e-05,0.0,0.0,3.162116866974608e-05,3.891836143968749e-05,0.0,0.0,0.0
2019-12-22,417970,27.0,0.0,0.0,22.0,6.0,2.0,0.0,4.0,6.459793765102759e-05,0.0,0.0,5.2635356604540995e-05,1.4355097255783909e-05,4.785032418594636e-06,0.0,9.570064837189272e-06
2019-12-23,428376,22.0,0.0,0.0,17.0,8.0,0.0,0.0,6.0,5.135675201225092e-05,0.0,0.0,3.968476291855753e-05,1.8675182549909427e-05,0.0,0.0,1.4006386912432068e-05
2019-12-24,438628,18.0,0.0,0.0,16.0,4.0,1.0,0.0,1.0,4.1037051898191636e-05,0.0,0.0,3.647737946505923e-05,9.119344866264808e-06,2.279836216566202e-06,0.0,2.279836216566202e-06
